Property_Name,Building_Name,Street_No_From,Street_name,Latitude,Longitude,PLN_AREA_N,PLN_AREA_C,REGION_N
Starhub Green - South Tower,Starhub Green - South Tower,67,Ubi Avenue 1,1.324275,103.8927019,GEYLANG,GL,Central
Apex @ Henderson ,Apex @ Henderson,201,Henderson Road,1.282262,103.820467,BUKIT MERAH,BM,Central
10 Raeburn Park Block B,10 Raeburn Park Block B,10,Raeburn Park,1.2740187,103.8341194,BUKIT MERAH,BM,Central
2 Ubi View (Formerly as CSE Global),2 Ubi View (Formerly as CSE Global),2,Ubi View,1.332868,103.897382,GEYLANG,GL,Central
UE Bizhub West,UE Bizhub West,450,Alexandra Road,1.27651,103.801709,QUEENSTOWN,QT,Central
30A Kallang Place,30A Kallang Place,30A,Kallang Place,1.314617706,103.8659221,KALLANG,KL,Central
World Publication Building,World Publication Building,39,Ubi Road 1,1.329222,103.891563,GEYLANG,GL,Central
130 Joo Seng Road,130 Joo Seng Road,130,Joo Seng Road,1.337507,103.882909,TOA PAYOH,TP,Central
BS Bendemeer Centre,BS Bendemeer Centre,20,Bendemeer Road,1.314514,103.862171,KALLANG,KL,Central
3 Kallang Junction,3 Kallang Junction,3,Kallang Junction,1.312795,103.864457,KALLANG,KL,Central
10 Raeburn Park Podium Blk,10 Raeburn Park Podium Blk,10,Raeburn Park,1.2740187,103.8341194,BUKIT MERAH,BM,Central
